src/App.tsx(2,19): error TS2307: Cannot find module 'react' or its corresponding type declarations.
src/App.tsx(3,50): error TS2307: Cannot find module 'react' or its corresponding type declarations.
src/App.tsx(13,8): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
src/App.tsx(253,43): error TS7006: Parameter 'alarm' implicitly has an 'any' type.
src/App.tsx(273,21): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(303,21): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(316,23): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(344,21): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(379,21): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(403,21): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(417,25): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(455,27): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(488,19): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(704,21): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(796,17): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(985,36): error TS2339: Property 'env' does not exist on type 'ImportMeta'.
src/App.tsx(1102,54): error TS7006: Parameter 'alarm' implicitly has an 'any' type.
src/App.tsx(1113,55): error TS7006: Parameter 'alarm' implicitly has an 'any' type.
src/App.tsx(1280,19): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(1377,50): error TS7006: Parameter 'a' implicitly has an 'any' type.
src/App.tsx(1398,49): error TS7006: Parameter 'alarm' implicitly has an 'any' type.
src/App.tsx(1402,19): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(1476,50): error TS7006: Parameter 'a' implicitly has an 'any' type.
src/App.tsx(1477,52): error TS7006: Parameter 'alarm' implicitly has an 'any' type.
src/App.tsx(1478,19): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(1538,50): error TS7006: Parameter 'a' implicitly has an 'any' type.
src/App.tsx(1559,49): error TS7006: Parameter 'alarm' implicitly has an 'any' type.
src/App.tsx(1563,19): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(1622,17): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(1651,21): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(1674,21): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/App.tsx(1684,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1684,7): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
src/App.tsx(1685,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1687,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1687,74): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1688,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1700,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1701,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1702,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1712,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1713,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1714,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1716,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1717,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1720,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/App.tsx(1721,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
